Year,Age,Level,Employer,Role,Coach
1981,47,College (FBS),Arizona State,Head Coach,Darryl Rogers
1982,48,College (FBS),Arizona State,Head Coach,Darryl Rogers
1983,49,College (FBS),Arizona State,Head Coach,Darryl Rogers
1984,50,College (FBS),Arizona State,Head Coach,Darryl Rogers
1985,51,NFL,Detroit Lions,Head Coach,Darryl Rogers
1986,52,NFL,Detroit Lions,Head Coach,Darryl Rogers
1987,53,NFL,Detroit Lions,Head Coach,Darryl Rogers
1988,54,NFL,Detroit Lions,Head Coach,Darryl Rogers
1991,57,CFL,Winnipeg Blue Bombers,Head Coach,Darryl Rogers
2003,45,NFL,Baltimore Ravens,Linebackers,Mike Singletary
2004,46,NFL,Baltimore Ravens,Linebackers,Mike Singletary
2005,47,NFL,San Francisco 49ers,Assistant Head Coach/Linebackers,Mike Singletary
2006,48,NFL,San Francisco 49ers,Assistant Head Coach/Linebackers,Mike Singletary
2007,49,NFL,San Francisco 49ers,Assistant Head Coach/Linebackers,Mike Singletary
2008,50,NFL,San Francisco 49ers,Interim Head Coach/Assistant Head Coach/LBs,Mike Singletary
2009,51,NFL,San Francisco 49ers,Head Coach,Mike Singletary
2010,52,NFL,San Francisco 49ers,Head Coach,Mike Singletary
2011,53,NFL,Minnesota Vikings,Assistant Head Coach/Linebackers,Mike Singletary
2012,54,NFL,Minnesota Vikings,Asst. Head Coach/Linebackers,Mike Singletary
2013,55,NFL,Minnesota Vikings,Asst. Head Coach/Linebackers,Mike Singletary
2016,58,NFL,Los Angeles Rams,Defensive Assistant,Mike Singletary
2019,61,AAF,Memphis Express,Head Coach,Mike Singletary
1958,30,College,Wichita State,Assistant Coach,Bill Austin
1959,31,NFL,Green Bay Packers,Offensive Line,Bill Austin
1960,32,NFL,Green Bay Packers,Offensive Line,Bill Austin
1961,33,NFL,Green Bay Packers,Offensive Line,Bill Austin
1962,34,NFL,Green Bay Packers,Offensive Line,Bill Austin
1963,35,NFL,Green Bay Packers,Offensive Line,Bill Austin
1964,36,NFL,Green Bay Packers,Offensive Line,Bill Austin
1965,37,NFL,Los Angeles Rams,Offensive Line,Bill Austin
1966,38,NFL,Pittsburgh Steelers,Head Coach,Bill Austin
1967,39,NFL,Pittsburgh Steelers,Head Coach,Bill Austin
1968,40,NFL,Pittsburgh Steelers,Head Coach,Bill Austin
1969,41,NFL,Washington Redskins,Offensive Line,Bill Austin
1970,42,NFL,Washington Redskins,Head Coach,Bill Austin
1971,43,NFL,Chicago Bears,Asst. Offensive Line,Bill Austin
1972,44,NFL,St. Louis Cardinals,Offensive Line,Bill Austin
1973,45,NFL,Washington Redskins,Offensive Line,Bill Austin
1974,46,NFL,Washington Redskins,Offensive Line,Bill Austin
1975,47,NFL,Washington Redskins,Offensive Line,Bill Austin
1976,48,NFL,Washington Redskins,Offensive Line,Bill Austin
1977,49,NFL,Washington Redskins,Offensive Line,Bill Austin
1979,51,NFL,New York Giants,Offensive Line,Bill Austin
1980,52,NFL,New York Giants,Offensive Line,Bill Austin
1981,53,NFL,New York Giants,Offensive Line,Bill Austin
1982,54,NFL,New York Giants,Offensive Line,Bill Austin
1983,55,USFL,New Jersey Generals,Offensive Line,Bill Austin
1984,56,USFL,New Jersey Generals,Offensive Line,Bill Austin
1985,57,NFL,New York Jets,Offensive Line,Bill Austin
1926,27,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1927,28,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1928,29,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1929,30,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1930,31,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1931,32,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1932,33,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1933,34,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1934,35,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1935,36,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1936,37,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1937,38,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1938,39,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1939,40,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1940,41,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1941,42,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1942,43,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1943,44,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1944,45,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1945,46,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1946,47,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1947,48,High School,Washington HS (Milwaukee WI),Head Coach,Lisle Blackbourn
1948,49,College,Wisconsin,Backfield Coach,Lisle Blackbourn
1949,50,College,Marquette,Line Coach,Lisle Blackbourn
1950,51,College,Marquette,Head Coach,Lisle Blackbourn
1951,52,College,Marquette,Head Coach,Lisle Blackbourn
1952,53,College,Marquette,Head Coach,Lisle Blackbourn
1953,54,College,Marquette,Head Coach,Lisle Blackbourn
1954,55,NFL,Green Bay Packers,Head Coach,Lisle Blackbourn
1955,56,NFL,Green Bay Packers,Head Coach,Lisle Blackbourn
1956,57,NFL,Green Bay Packers,Head Coach,Lisle Blackbourn
1957,58,NFL,Green Bay Packers,Head Coach,Lisle Blackbourn
1958,59,College,Carroll Coll. (WI),Head Coach,Lisle Blackbourn
1959,60,College,Marquette,Head Coach,Lisle Blackbourn
1960,61,College,Marquette,Head Coach,Lisle Blackbourn
1987,23,College,Idaho,Graduate Assistant,Tom Cable
1988,24,College,Idaho,Graduate Assistant,Tom Cable
1989,25,College,San Diego State,Graduate Assistant,Tom Cable
1990,26,College,Cal State Fullerton,Defensive Line,Tom Cable
1991,27,College,UNLV,Offensive Line,Tom Cable
1992,28,College,California,Offensive Line,Tom Cable
1993,29,College,California,Offensive Line,Tom Cable
1994,30,College,California,Offensive Line,Tom Cable
1995,31,College,California,Offensive Line,Tom Cable
1996,32,College,California,Offensive Line,Tom Cable
1997,33,College,California,Offensive Line,Tom Cable
1998,34,College,Colorado,Offensive Line,Tom Cable
1999,35,College,Colorado,Offensive Coordinator,Tom Cable
2000,36,College,Idaho,Head Coach,Tom Cable
2001,37,College,Idaho,Head Coach,Tom Cable
2002,38,College,Idaho,Head Coach,Tom Cable
2003,39,College,Idaho,Head Coach,Tom Cable
2004,40,College,UCLA,Offensive Coordinator,Tom Cable
2005,41,College,UCLA,Offensive Coordinator,Tom Cable
2006,42,NFL,Atlanta Falcons,Offensive Line,Tom Cable
2007,43,NFL,Oakland Raiders,Offensive Line,Tom Cable
2008,44,NFL,Oakland Raiders,Offensive Line/Interim Head Coach,Tom Cable
2009,45,NFL,Oakland Raiders,Head Coach,Tom Cable
2010,46,NFL,Oakland Raiders,Head Coach,Tom Cable
2011,47,NFL,Seattle Seahawks,Assistant HC/Offensive Line,Tom Cable
2012,48,NFL,Seattle Seahawks,Assistant HC/Offensive Line,Tom Cable
2013,49,NFL,Seattle Seahawks,Assistant HC/Offensive Line,Tom Cable
2014,50,NFL,Seattle Seahawks,Assistant HC/Offensive Line,Tom Cable
2015,51,NFL,Seattle Seahawks,Assistant HC/Offensive Line,Tom Cable
2016,52,NFL,Seattle Seahawks,Assistant HC/Offensive Line,Tom Cable
2017,53,NFL,Seattle Seahawks,Assistant HC/Offensive Line,Tom Cable
2018,54,NFL,Oakland Raiders,Offensive Line,Tom Cable
2019,55,NFL,Oakland Raiders,Offensive Line,Tom Cable
2020,56,NFL,Las Vegas Raiders,Offensive Line,Tom Cable
2021,57,NFL,Las Vegas Raiders,Offensive Line,Tom Cable
1959,38,College,Coast Guard Academy,Head Coach,Otto Graham
1960,39,College,Coast Guard Academy,Head Coach,Otto Graham
1961,40,College,Coast Guard Academy,Head Coach,Otto Graham
1962,41,College,Coast Guard Academy,Head Coach,Otto Graham
1963,42,College,Coast Guard Academy,Head Coach,Otto Graham
1964,43,College,Coast Guard Academy,Head Coach,Otto Graham
1965,44,College,Coast Guard Academy,Head Coach,Otto Graham
1966,45,NFL,Washington Redskins,Head Coach,Otto Graham
1967,46,NFL,Washington Redskins,Head Coach,Otto Graham
1968,47,NFL,Washington Redskins,Head Coach,Otto Graham
1974,53,College,Coast Guard Academy,Head Coach,Otto Graham
1975,54,College,Coast Guard Academy,Head Coach,Otto Graham
1973,22,College,Texas Christian,Assistant Coach,Dave McGinnis
1974,23,College,Texas Christian,Assistant Coach,Dave McGinnis
1975,24,College,Missouri,Assistant Coach,Dave McGinnis
1976,25,College,Missouri,Assistant Coach,Dave McGinnis
1977,26,College,Missouri,Assistant Coach,Dave McGinnis
1978,27,College,Indiana State,Assistant Coach,Dave McGinnis
1980,29,College,Indiana State,Assistant Coach,Dave McGinnis
1981,30,College,Indiana State,Assistant Coach,Dave McGinnis
1982,31,College,Texas Christian,Assistant Coach,Dave McGinnis
1983,32,College,Kansas State,Defensive Ends/Linebackers,Dave McGinnis
1984,33,College,Kansas State,Defensive Ends/Linebackers,Dave McGinnis
1985,34,College,Kansas State,Defensive Ends/Linebackers,Dave McGinnis
1986,35,NFL,Chicago Bears,Linebackers,Dave McGinnis
1987,36,NFL,Chicago Bears,Linebackers,Dave McGinnis
1988,37,NFL,Chicago Bears,Linebackers,Dave McGinnis
1989,38,NFL,Chicago Bears,Linebackers,Dave McGinnis
1990,39,NFL,Chicago Bears,Linebackers,Dave McGinnis
1991,40,NFL,Chicago Bears,Linebackers,Dave McGinnis
1992,41,NFL,Chicago Bears,Linebackers,Dave McGinnis
1993,42,NFL,Chicago Bears,Linebackers,Dave McGinnis
1994,43,NFL,Chicago Bears,Linebackers,Dave McGinnis
1995,44,NFL,Chicago Bears,Linebackers,Dave McGinnis
1996,45,NFL,Arizona Cardinals,Defensive Coordinator,Dave McGinnis
1997,46,NFL,Arizona Cardinals,Defensive Coordinator,Dave McGinnis
1998,47,NFL,Arizona Cardinals,Defensive Coordinator,Dave McGinnis
1999,48,NFL,Arizona Cardinals,Defensive Coordinator,Dave McGinnis
2000,49,NFL,Arizona Cardinals,Interim Head Coach/Defensive Coordinator,Dave McGinnis
2001,50,NFL,Arizona Cardinals,Head Coach,Dave McGinnis
2002,51,NFL,Arizona Cardinals,Head Coach,Dave McGinnis
2003,52,NFL,Arizona Cardinals,Head Coach,Dave McGinnis
2004,53,NFL,Tennessee Titans,Linebackers,Dave McGinnis
2005,54,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Dave McGinnis
2006,55,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Dave McGinnis
2007,56,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Dave McGinnis
2008,57,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Dave McGinnis
2009,58,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Dave McGinnis
2010,59,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Dave McGinnis
2011,60,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Dave McGinnis
2012,61,NFL,St. Louis Rams,Assistant Head Coach,Dave McGinnis
2013,62,NFL,St. Louis Rams,Assistant Head Coach,Dave McGinnis
2014,63,NFL,St. Louis Rams,Assistant Head Coach,Dave McGinnis
2015,64,NFL,St. Louis Rams,Assistant Head Coach,Dave McGinnis
2016,65,NFL,Los Angeles Rams,Assistant Head Coach,Dave McGinnis
1970,23,College,Southern California,Graduate Assistant,Al Saunders
1970,23,College,USC,Graduate Assistant,Al Saunders
1971,24,College,Southern California,Graduate Assistant,Al Saunders
1971,24,College,USC,Graduate Assistant,Al Saunders
1972,25,College,Missouri,Wide Receivers,Al Saunders
1973,26,College,Utah State,Play-Caller/Offensive Backfield,Al Saunders
1974,27,College,Utah State,Play-Caller/Offensive Backfield,Al Saunders
1975,28,College,Utah State,Play-Caller/Offensive Backfield,Al Saunders
1976,29,College,California,AHC/Offensive Coordinator/QBs,Al Saunders
1977,30,College,California,AHC/Offensive Coordinator/QBs,Al Saunders
1978,31,College,California,AHC/Offensive Coordinator/QBs,Al Saunders
1979,32,College,California,AHC/Offensive Coordinator/QBs,Al Saunders
1980,33,College,California,AHC/Offensive Coordinator/QBs,Al Saunders
1981,34,College,California,AHC/Offensive Coordinator/QBs,Al Saunders
1982,35,College,Tennessee,Offensive Coordinator/Quarterbacks,Al Saunders
1983,36,NFL,San Diego Chargers,Wide Receivers,Al Saunders
1984,37,NFL,San Diego Chargers,Wide Receivers,Al Saunders
1985,38,NFL,San Diego Chargers,Wide Receivers,Al Saunders
1986,39,NFL,San Diego Chargers,Head Coach,Al Saunders
1987,40,NFL,San Diego Chargers,Head Coach,Al Saunders
1988,41,NFL,San Diego Chargers,Head Coach,Al Saunders
1989,42,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1990,43,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1991,44,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1992,45,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1993,46,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1994,47,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1995,48,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1996,49,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1997,50,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1998,51,NFL,Kansas City Chiefs,Asst. Head Coach/Wide Receivers,Al Saunders
1999,52,NFL,St. Louis Rams,Asst. Head Coach/Wide Receivers,Al Saunders
2000,53,NFL,St. Louis Rams,Asst. Head Coach/Wide Receivers,Al Saunders
2001,54,NFL,Kansas City Chiefs,Offensive Coordinator,Al Saunders
2002,55,NFL,Kansas City Chiefs,Offensive Coordinator,Al Saunders
2003,56,NFL,Kansas City Chiefs,Offensive Coordinator,Al Saunders
2004,57,NFL,Kansas City Chiefs,Offensive Coordinator,Al Saunders
2005,58,NFL,Kansas City Chiefs,Offensive Coordinator,Al Saunders
2006,59,NFL,Washington Redskins,Offensive Coordinator,Al Saunders
2007,60,NFL,Washington Redskins,Offensive Coordinator,Al Saunders
2008,61,NFL,St. Louis Rams,Offensive Coordinator,Al Saunders
2009,62,NFL,Baltimore Ravens,Offensive Consultant,Al Saunders
2010,63,NFL,Baltimore Ravens,Offensive Consultant,Al Saunders
2011,64,NFL,Oakland Raiders,Offensive Coordinator,Al Saunders
2012,65,NFL,Oakland Raiders,Senior Offensive Assistant,Al Saunders
2013,66,NFL,Oakland Raiders,Senior Offensive Assistant,Al Saunders
2014,67,NFL,Oakland Raiders,Senior Offensive Assistant,Al Saunders
2015,68,NFL,Miami Dolphins,Senior Offensive Assistant,Al Saunders
2016,69,NFL,Cleveland Browns,Senior Offensive Assistant/Wide Receivers,Al Saunders
2017,70,NFL,Cleveland Browns,Senior Offensive Assistant/Wide Receivers,Al Saunders
1924,25,NFL,Duluth Kelleys,Head Coach,Dewey Scanlon
1925,26,NFL,Duluth Kelleys,Head Coach,Dewey Scanlon
1926,27,NFL,Duluth Eskimos,Head Coach,Dewey Scanlon
1929,30,NFL,Chicago Cardinals,Head Coach,Dewey Scanlon
1925,28,NFL,Chicago Cardinals,Head Coach,Norm Barry
1926,29,NFL,Chicago Cardinals,Head Coach,Norm Barry
1935,27,NFL,Chicago Cardinals,Head Coach,Milan Creighton
1936,28,NFL,Chicago Cardinals,Head Coach,Milan Creighton
1937,29,NFL,Chicago Cardinals,Head Coach,Milan Creighton
1938,30,NFL,Chicago Cardinals,Head Coach,Milan Creighton
1969,23,College,Oregon,Defensive Line,Gunther Cunningham
1970,24,College,Oregon,Defensive Line,Gunther Cunningham
1971,25,College,Oregon,Defensive Line,Gunther Cunningham
1972,26,College,Arkansas,Defensive Line,Gunther Cunningham
1973,27,College,Stanford,Asst OL/Freshman,Gunther Cunningham
1974,28,College,Stanford,Defensive Line,Gunther Cunningham
1975,29,College,Stanford,Defensive Line,Gunther Cunningham
1976,30,College,Stanford,Defensive Line,Gunther Cunningham
1977,31,College,California,Defensive Backs,Gunther Cunningham
1978,32,College,California,Linebackers,Gunther Cunningham
1979,33,College,California,DC/DL,Gunther Cunningham
1980,34,College,California,DC/DL,Gunther Cunningham
1981,35,CFL,Hamilton Tiger-Cats,DL/LB,Gunther Cunningham
1982,36,NFL,Baltimore Colts,DL/LB,Gunther Cunningham
1983,37,NFL,Baltimore Colts,DL/LB,Gunther Cunningham
1984,38,NFL,Indianapolis Colts,DL/LB,Gunther Cunningham
1985,39,NFL,San Diego Chargers,Defensive Line,Gunther Cunningham
1986,40,NFL,San Diego Chargers,Defensive Line,Gunther Cunningham
1987,41,NFL,San Diego Chargers,Defensive Line,Gunther Cunningham
1988,42,NFL,San Diego Chargers,Defensive Line,Gunther Cunningham
1989,43,NFL,San Diego Chargers,Defensive Line,Gunther Cunningham
1990,44,NFL,San Diego Chargers,Defensive Line,Gunther Cunningham
1991,45,NFL,Los Angeles Raiders,Linebackers,Gunther Cunningham
1992,46,NFL,Los Angeles Raiders,Defensive Coordinator,Gunther Cunningham
1993,47,NFL,Los Angeles Raiders,Defensive Coordinator,Gunther Cunningham
1995,49,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
1996,50,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
1997,51,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
1998,52,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
1999,53,NFL,Kansas City Chiefs,Head Coach,Gunther Cunningham
2000,54,NFL,Kansas City Chiefs,Head Coach,Gunther Cunningham
2001,55,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Gunther Cunningham
2002,56,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Gunther Cunningham
2003,57,NFL,Tennessee Titans,Assistant Head Coach/Linebackers,Gunther Cunningham
2004,58,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
2005,59,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
2006,60,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
2007,61,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
2008,62,NFL,Kansas City Chiefs,Defensive Coordinator,Gunther Cunningham
2009,63,NFL,Detroit Lions,Defensive Coordinator,Gunther Cunningham
2010,64,NFL,Detroit Lions,Defensive Coordinator,Gunther Cunningham
2011,65,NFL,Detroit Lions,Defensive Coordinator,Gunther Cunningham
2012,66,NFL,Detroit Lions,Defensive Coordinator,Gunther Cunningham
2013,67,NFL,Detroit Lions,Defensive Coordinator,Gunther Cunningham
2014,68,NFL,Detroit Lions,Sr. Coaching Assistant,Gunther Cunningham
2015,69,NFL,Detroit Lions,Sr. Coaching Assistant,Gunther Cunningham
2016,70,NFL,Detroit Lions,Sr. Coaching Assistant,Gunther Cunningham
2017,71,NFL,Detroit Lions,Sr. Coaching Assistant,Gunther Cunningham
1941,34,NFL,Washington Redskins,Line Coach,Turk Edwards
1942,35,NFL,Washington Redskins,Line Coach,Turk Edwards
1943,36,NFL,Washington Redskins,Line Coach,Turk Edwards
1944,37,NFL,Washington Redskins,Line Coach,Turk Edwards
1945,38,NFL,Washington Redskins,Line Coach,Turk Edwards
1946,39,NFL,Washington Redskins,Head Coach,Turk Edwards
1947,40,NFL,Washington Redskins,Head Coach,Turk Edwards
1948,41,NFL,Washington Redskins,Head Coach,Turk Edwards
1920,34,NFL,Akron Pros,Head Coach,Elgie Tobin
1921,35,NFL,Akron Pros,Head Coach,Elgie Tobin
1971,24,College,Central Connecticut State,Assistant Coach,Dave Campo
1972,25,College,Central Connecticut State,Assistant Coach,Dave Campo
1973,26,College,Albany,Assistant Coach,Dave Campo
1974,27,College,Bridgeport,Assistant Coach,Dave Campo
1975,28,College,Pittsburgh,Assistant Coach,Dave Campo
1976,29,College,Washington State,Assistant Coach,Dave Campo
1977,30,College,Boise State,Assistant Coach,Dave Campo
1978,31,College,Boise State,Assistant Coach,Dave Campo
1979,32,College,Boise State,Assistant Coach,Dave Campo
1980,33,College,Oregon State,Assistant Coach,Dave Campo
1981,34,College,Weber State,Assistant Head Coach/Defensive Coordinator,Dave Campo
1982,35,College,Weber State,Assistant Head Coach/Defensive Coordinator,Dave Campo
1983,36,College,Iowa State,Defensive Backs,Dave Campo
1984,37,College,Syracuse,Defensive Backs,Dave Campo
1985,38,College,Syracuse,Defensive Backs,Dave Campo
1986,39,College,Syracuse,Defensive Backs,Dave Campo
1987,40,College,Miami (FL),Secondary,Dave Campo
1988,41,College,Miami (FL),Secondary,Dave Campo
1989,42,NFL,Dallas Cowboys,Defensive Assistant,Dave Campo
1990,43,NFL,Dallas Cowboys,Defensive Assistant,Dave Campo
1991,44,NFL,Dallas Cowboys,Defensive Backs,Dave Campo
1992,45,NFL,Dallas Cowboys,Defensive Backs,Dave Campo
1993,46,NFL,Dallas Cowboys,Defensive Backs,Dave Campo
1994,47,NFL,Dallas Cowboys,Defensive Backs,Dave Campo
1995,48,NFL,Dallas Cowboys,Defensive Coordinator,Dave Campo
1996,49,NFL,Dallas Cowboys,Defensive Coordinator,Dave Campo
1997,50,NFL,Dallas Cowboys,Defensive Coordinator,Dave Campo
1998,51,NFL,Dallas Cowboys,Defensive Coordinator,Dave Campo
